run_seed,model,split,case_type,n_sequences,n_metric_steps,n_events,n_nonevents,n_drift_steps,n_revision_steps,mse,mse__n,mae,mae__n,final_mse,final_mse__n,final_mae,final_mae__n,event_mse,event_mse__n,event_mae,event_mae__n,nonevent_mse,nonevent_mse__n,nonevent_mae,nonevent_mae__n,drift_nonevent,drift_nonevent__n,drift_post_best,drift_post_best__n,revision_gain,revision_gain__n,event_abs_err_lag_m2,event_abs_err_lag_m2__n,best_abs_err_lag_m2,best_abs_err_lag_m2__n,event_abs_err_lag_m1,event_abs_err_lag_m1__n,best_abs_err_lag_m1,best_abs_err_lag_m1__n,event_abs_err_lag_0,event_abs_err_lag_0__n,best_abs_err_lag_0,best_abs_err_lag_0__n,event_abs_err_lag_1,event_abs_err_lag_1__n,best_abs_err_lag_1,best_abs_err_lag_1__n,event_abs_err_lag_2,event_abs_err_lag_2__n,best_abs_err_lag_2,best_abs_err_lag_2__n,event_abs_err_lag_3,event_abs_err_lag_3__n,best_abs_err_lag_3,best_abs_err_lag_3__n,event_abs_err_lag_4,event_abs_err_lag_4__n,best_abs_err_lag_4,best_abs_err_lag_4__n,event_abs_err_lag_6,event_abs_err_lag_6__n,best_abs_err_lag_6,best_abs_err_lag_6__n,event_abs_err_lag_8,event_abs_err_lag_8__n,best_abs_err_lag_8,best_abs_err_lag_8__n,event_abs_err_lag_12,event_abs_err_lag_12__n,best_abs_err_lag_12,best_abs_err_lag_12__n,event_abs_err_lag_16,event_abs_err_lag_16__n,best_abs_err_lag_16,best_abs_err_lag_16__n,alpha_event,alpha_event__n,alpha_nonevent,alpha_nonevent__n,alpha_contrast,alpha_contrast__n,event_alpha_lag_m2,event_alpha_lag_m2__n,best_alpha_lag_m2,best_alpha_lag_m2__n,event_alpha_lag_m1,event_alpha_lag_m1__n,best_alpha_lag_m1,best_alpha_lag_m1__n,event_alpha_lag_0,event_alpha_lag_0__n,best_alpha_lag_0,best_alpha_lag_0__n,event_alpha_lag_1,event_alpha_lag_1__n,best_alpha_lag_1,best_alpha_lag_1__n,event_alpha_lag_2,event_alpha_lag_2__n,best_alpha_lag_2,best_alpha_lag_2__n,event_alpha_lag_3,event_alpha_lag_3__n,best_alpha_lag_3,best_alpha_lag_3__n,event_alpha_lag_4,event_alpha_lag_4__n,best_alpha_lag_4,best_alpha_lag_4__n,event_alpha_lag_6,event_alpha_lag_6__n,best_alpha_lag_6,best_alpha_lag_6__n,event_alpha_lag_8,event_alpha_lag_8__n,best_alpha_lag_8,best_alpha_lag_8__n,event_alpha_lag_12,event_alpha_lag_12__n,best_alpha_lag_12,best_alpha_lag_12__n,event_alpha_lag_16,event_alpha_lag_16__n,best_alpha_lag_16,best_alpha_lag_16__n
0,qlstm,extrapolation,all,4,56,9,47,44,8,0.7423670226492042,4,0.781179249228444,4,0.672523797689249,4,0.749267930717906,4,0.5429453510336079,4,0.6510085338668432,4,0.7938997105111634,4,0.8128998086827515,4,0.0384318686231519,4,0.0342601932811014,4,0.0197478768726189,4,0.824633963406086,4,0.9995372518897055,4,0.7619160544127226,4,0.8615654446184635,4,0.6510085338668432,4,0.6914899075345602,4,0.6739737117604818,4,0.6782667959050741,4,0.8459918827381141,4,0.7311033034638967,4,0.8887348757998552,4,0.7681137206576144,3,0.8293269306983955,4,0.7447195026907139,2,0.8031702730125592,4,0.6938607592019252,2,0.7769208930355186,3,0.7009406585129909,2,1.0231323093175888,2,,0,,0,,0,0.5520773306488991,4,0.5259115673071924,4,0.0261657633417066,4,0.5659292042255402,4,0.5660888999700546,4,0.5257317659755548,4,0.499715693295002,4,0.5520773306488991,4,0.5444533228874207,4,0.5584676067034403,4,0.5388193279504776,4,0.5497106984257698,4,0.5489883273839951,4,0.4957026913762092,4,0.4727096160252889,3,0.5216981296737989,4,0.4826764762401581,2,0.538435927281777,4,0.5191988348960876,2,0.5353665798902512,3,0.557688295841217,2,0.4958366006612777,2,,0,,0,,0
0,qlstm,extrapolation,iid,1,14,2,12,11,2,0.6006670685084897,1,0.7534560071570533,1,0.3568778161990613,1,0.5973925143480301,1,0.6818796594373977,1,0.8052150756120682,1,0.587131636687005,1,0.7448294957478842,1,0.0506701103665611,1,0.0123848617076873,1,-0.002175360918045,1,0.8507455959916115,1,1.0959688425064087,1,0.795296385884285,1,1.0034998953342438,1,0.8052150756120682,1,0.6221622377634048,1,0.8167484849691391,1,0.6025390028953552,1,0.8466806784272194,1,0.5973925143480301,1,1.0034998953342438,1,,0,0.6221622377634048,1,,0,0.5973925143480301,1,,0,,0,,0,,0,,0,,0,,0,0.5746974647045135,1,0.5078760658701261,1,0.0668213988343874,1,0.4741686880588531,1,0.4987179040908813,1,0.4977871626615524,1,0.4455463588237762,1,0.5746974647045135,1,0.5450291037559509,1,0.559632420539856,1,0.5269365310668945,1,0.5324263274669647,1,0.5661347508430481,1,0.4455463588237762,1,,0,0.5450291037559509,1,,0,0.5661347508430481,1,,0,,0,,0,,0,,0,,0,,0
0,qlstm,extrapolation,late,1,14,3,11,10,3,0.9705980206083566,1,0.9359333770615714,1,0.7142076868785843,1,0.8451080918312073,1,0.7286232592101326,1,0.7793987145026525,1,1.0365911373533268,1,0.9786246486685491,1,0.0361316695809364,1,0.0593900879224141,1,-0.027800644437472,1,0.8094241246581078,1,1.2638140320777893,1,0.7870889604091644,1,1.201802670955658,1,0.7793987145026525,1,0.7755313515663147,1,0.7561378081639608,1,0.7212345898151398,1,1.065557638804118,1,0.7979039549827576,1,1.0790500740210216,1,0.8451080918312073,1,1.1917507275938988,1,,0,1.197082869708538,1,,0,0.9615186303853988,1,,0,0.8451080918312073,1,,0,,0,,0,0.5942686994870504,1,0.546243510463021,1,0.0480251890240294,1,0.5883130133152008,1,0.5644025802612305,1,0.5266563793023428,1,0.4759844243526459,1,0.5942686994870504,1,0.567844033241272,1,0.5363288521766663,1,0.5171098113059998,1,0.5666407744089762,1,0.5698215961456299,1,0.5410927633444468,1,0.4768145382404327,1,0.5770485997200012,1,,0,0.5513597577810287,1,,0,0.4965471178293228,1,,0,0.4768145382404327,1,,0,,0,,0
0,qlstm,extrapolation,early,1,14,1,13,12,1,0.1591235177906184,1,0.3436135934732322,1,0.105073100612911,1,0.3241498119896278,1,0.0568089602639233,1,0.2383463032310828,1,0.166993868369595,1,0.3517110773380129,1,0.0329738159974416,1,0.0313139449466358,1,0.1089606583118438,1,0.8073952794075012,1,0.8073952794075012,1,0.8586276769638062,1,0.8586276769638062,1,0.2383463032310828,1,0.2383463032310828,1,0.2337403990095481,1,0.2337403990095481,1,0.3002989835804328,1,0.3002989835804328,1,0.2867822892731055,1,0.2867822892731055,1,0.3097383625572547,1,0.3097383625572547,1,0.2515436954563483,1,0.2515436954563483,1,0.2148986257379874,1,0.2148986257379874,1,,0,,0,,0,,0,0.4434902667999267,1,0.5303424367537866,1,-0.0868521699538598,1,0.6170291900634766,1,0.6170291900634766,1,0.495429128408432,1,0.495429128408432,1,0.4434902667999267,1,0.4434902667999267,1,0.5495718717575073,1,0.5495718717575073,1,0.5281105637550354,1,0.5281105637550354,1,0.4768275618553161,1,0.4768275618553161,1,0.4662091732025146,1,0.4662091732025146,1,0.5345069169998169,1,0.5345069169998169,1,0.5737501382827759,1,0.5737501382827759,1,,0,,0,,0,,0
0,qlstm,extrapolation,near_best,1,14,3,11,11,2,1.239079483689352,1,1.091714019221919,1,1.5139365870664392,1,1.2304213047027588,1,0.7044695252229781,1,0.7810740421215693,1,1.3848821996347267,1,1.1764340129765598,1,0.0339518785476684,1,0.0339518785476684,1,6.854534149169922e-06,1,0.8309708535671234,1,0.8309708535671234,1,0.6066511943936348,1,0.3823315352201462,1,0.7810740421215693,1,1.1299197375774384,1,0.8892681548992792,1,1.1555531919002533,1,1.171430230140686,1,1.2288177609443665,1,1.18560724457105,1,1.1724507808685305,1,1.1936563948790233,1,1.179700642824173,1,1.1666620125373204,1,1.136177822947502,1,1.1543454229831696,1,1.1869826912879944,1,1.2011565268039703,1,,0,,0,,0,0.5958528916041056,1,0.5191842561418359,1,0.0766686354622696,1,0.5842059254646301,1,0.5842059254646301,1,0.583054393529892,1,0.5819028615951538,1,0.5958528916041056,1,0.621449887752533,1,0.5883372823397318,1,0.5616590976715088,1,0.5716651280721029,1,0.5318863987922668,1,0.5193440814812978,1,0.4644867479801178,1,0.4985056420167287,1,0.4991437792778015,1,0.5017422835032145,1,0.5038907527923584,1,0.5358024835586548,1,0.5416264533996582,1,0.5148586630821228,1,,0,,0,,0
0,qslstm,extrapolation,all,4,56,9,47,44,8,0.7452750760399587,4,0.7875809706165455,4,0.6244360885995435,4,0.7234399529115763,4,0.5703196330450643,4,0.6743518734292593,4,0.7921938159753596,4,0.8164561097575964,4,0.0144305440851233,4,0.0111883532143,4,0.0040623334546883,4,0.8298368342220783,4,0.9872791469097136,4,0.7688566961636146,4,0.8620373941957951,4,0.6743518734292593,4,0.706182664813241,4,0.7002053421553379,4,0.7090875232534017,4,0.8453016392207549,4,0.7273760424868669,4,0.8870786651289866,4,0.7478486480734622,3,0.8310842544403083,4,0.7329481515916996,2,0.8274753161337383,4,0.7217911157640629,2,0.8039679907184715,3,0.716713828209322,2,0.9778421744704248,2,,0,,0,,0,0.2195868616302808,4,0.1419192391040947,4,0.077667622526186,4,0.3140068023931235,4,0.3166266693733632,4,0.1676899675512686,4,0.1446361646521836,4,0.2195868616302808,4,0.2161771208047866,4,0.1999055052486558,4,0.1585779683664441,4,0.2000679532842089,4,0.1393513921648264,4,0.1393506044987589,4,0.0613723782201608,3,0.1495209870239099,4,0.0405083186924457,2,0.1395534304901957,4,0.0896366499364376,2,0.1014935258362028,3,0.0770950205624103,2,0.0728903282433748,2,,0,,0,,0
0,qslstm,extrapolation,iid,1,14,2,12,11,2,0.6172958047612234,1,0.7657260809625898,1,0.42945346680201,1,0.6553269922733307,1,0.7513646020925524,1,0.8473624289035797,1,0.594951005206002,1,0.7521200229724249,1,0.0141760110855102,1,0.0047194212675094,1,-0.0065298378467559,1,0.8499607890844345,1,1.0596197247505188,1,0.8330892622470856,1,1.030892848968506,1,0.8473624289035797,1,0.6647658348083496,1,0.8547564446926117,1,0.6568650007247925,1,0.8574733585119247,1,0.6553269922733307,1,1.030892848968506,1,,0,0.6647658348083496,1,,0,0.6553269922733307,1,,0,,0,,0,,0,,0,,0,,0,0.0514923930168151,1,0.0542682675489534,1,-0.0027758745321383,1,0.0265579251572489,1,0.0309687908738851,1,0.0309833050705492,1,0.0119182216003537,1,0.0514923930168151,1,0.0246041119098663,1,0.0499405730515718,1,0.0247905291616916,1,0.0404748758301138,1,0.0499809607863426,1,0.0119182216003537,1,,0,0.0246041119098663,1,,0,0.0499809607863426,1,,0,,0,,0,,0,,0,,0,,0
0,qslstm,extrapolation,late,1,14,3,11,10,3,0.9809665003786284,1,0.9437667184642384,1,0.6158771156890888,1,0.7847783863544464,1,0.7588535802680587,1,0.8017138342062632,1,1.0415427513178748,1,0.9825084141709588,1,0.0241942703723907,1,0.0201592942078908,1,-0.0173119405905405,1,0.8236084580421448,1,1.2437187731266022,1,0.8198927839597067,1,1.223358333110809,1,0.8017138342062632,1,0.7658089995384216,1,0.780649314324061,1,0.7450547516345978,1,1.0750082929929097,1,0.7815563976764679,1,1.062500774860382,1,0.7847783863544464,1,1.1950409784913063,1,,0,1.2029030844569206,1,,0,0.9842065423727036,1,,0,0.7847783863544464,1,,0,,0,,0,0.3570493459701538,1,0.2660761854865334,1,0.0909731604836203,1,0.3829169124364853,1,0.3889855146408081,1,0.1812975704669952,1,0.0943733751773834,1,0.3570493459701538,1,0.2287463545799255,1,0.2247597575187683,1,0.151056170463562,1,0.2939847707748413,1,0.1976611167192459,1,0.2704381744066874,1,0.0556654334068298,1,0.4169640019536018,1,,0,0.3547807782888412,1,,0,0.1227147728204727,1,,0,0.0556654334068298,1,,0,,0,,0
0,qslstm,extrapolation,early,1,14,1,13,12,1,0.1629995357063138,1,0.3574212169873395,1,0.0794873448685965,1,0.2819350011413917,1,0.0741100134320502,1,0.2722315437858924,1,0.1698371912658725,1,0.3639742687720662,1,0.0109638199210166,1,0.0114866224202242,1,0.0357050895690918,1,0.8140443563461304,1,0.8140443563461304,1,0.8192573487758636,1,0.8192573487758636,1,0.2722315437858924,1,0.2722315437858924,1,0.2826255805557593,1,0.2826255805557593,1,0.2999124474590644,1,0.2999124474590644,1,0.290741229779087,1,0.290741229779087,1,0.2934798247879371,1,0.2934798247879371,1,0.2846968419617042,1,0.2846968419617042,1,0.2626115329330787,1,0.2626115329330787,1,,0,,0,,0,,0,0.0300117433071136,1,0.1080857094090718,1,-0.0780739661019582,1,0.4913086295127868,1,0.4913086295127868,1,0.0894611850380897,1,0.0894611850380897,1,0.0300117433071136,1,0.0300117433071136,1,0.0760808736085891,1,0.0760808736085891,1,0.0619712173938751,1,0.0619712173938751,1,0.0332548953592777,1,0.0332548953592777,1,0.0227708928287029,1,0.0227708928287029,1,0.0740986913442611,1,0.0740986913442611,1,0.0625631585717201,1,0.0625631585717201,1,,0,,0,,0,,0
0,qslstm,extrapolation,near_best,1,14,3,11,11,2,1.2198384633136694,1,1.0834098660520144,1,1.372926427038479,1,1.1717194318771362,1,0.6969503363875958,1,0.7760996868213018,1,1.3624443161116897,1,1.1672217331149362,1,0.0083880749615755,1,0.0083880749615755,1,0.0043860226869583,1,0.8317337334156036,1,0.8317337334156036,1,0.6031873896718025,1,0.3746410459280014,1,0.7760996868213018,1,1.1219242811203003,1,0.8827900290489197,1,1.1518047600984571,1,1.1488124579191208,1,1.1727083325386047,1,1.1641798069079716,1,1.168026328086853,1,1.17105037967364,1,1.172416478395462,1,1.1669743458429973,1,1.1588853895664215,1,1.1650858968496325,1,1.1708161234855652,1,1.170905962586403,1,,0,,0,,0,0.4397939642270406,1,0.1392467939718203,1,0.3005471702552202,1,0.3552437424659729,1,0.3552437424659729,1,0.3690178096294403,1,0.3827918767929077,1,0.4397939642270406,1,0.5813462734222412,1,0.4488408168156941,1,0.3823843002319336,1,0.4038409491380055,1,0.2477922737598419,1,0.2417911266287168,1,0.0951968058943748,1,0.1337449414034684,1,0.0582457445561885,1,0.0793532915413379,1,0.105174608528614,1,0.1192026461164156,1,0.0916268825531005,1,0.0901152230799198,1,,0,,0,,0
